"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
2019,4,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,25,1,2
2020,1,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,0,0,2
2020,2,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,0,0,2
2020,3,"R","전통시장",1001450,"남성역골목시장","CS100010","커피-음료",2,4,0,0,0,0,2
2019,1,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",6,6,17,1,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",6,6,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",6,6,17,1,17,1,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",4,5,0,0,20,1,1
2020,1,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",4,5,0,0,0,0,1
2020,2,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",4,5,0,0,0,0,1
2020,3,"A","골목상권",1000747,"사당로16가길","CS100001","한식음식점",5,6,17,1,0,0,1
2019,1,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100002","중식음식점",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,1,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100005","제과점",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2019,2,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2019,3,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2019,4,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,0,0,2
2020,1,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",3,5,0,0,0,0,2
2020,2,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,4,25,1,25,1,3
2020,3,"A","골목상권",1000747,"사당로16가길","CS100006","패스트푸드점",1,3,0,0,33,1,2
2019,1,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,33,1,67,2,2
2019,2,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,0,0,0,0,2
2019,3,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,0,0,0,0,2
2019,4,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,0,0,0,0,2
2020,1,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,3,33,1,33,1,2
2020,2,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,2,0,0,50,1,1
2020,3,"A","골목상권",1000747,"사당로16가길","CS100007","치킨전문점",1,2,0,0,50,1,1
2019,1,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",3,3,33,1,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100008","분식전문점",2,2,0,0,50,1,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,3,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,4,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2020,1,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2020,2,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100009","호프-간이주점",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,2,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,3,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,4,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,33,1,33,1,1
2020,1,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,3,33,1,0,0,1
2020,2,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,2,0,0,50,1,0
2020,3,"A","골목상권",1000747,"사당로16가길","CS100010","커피-음료",2,2,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100002","중식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,50,1,0,0,1
2019,2,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2019,3,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2019,4,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2020,1,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2020,2,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2020,3,"A","골목상권",1000750,"사당로23길","CS100005","제과점",1,2,0,0,0,0,1
2019,1,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",1,2,50,1,0,0,1
2019,2,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",1,2,0,0,0,0,1
2019,3,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",1,2,0,0,0,0,1
2019,4,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,33,1,0,0,1
2020,1,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,0,0,0,0,1
2020,2,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,0,0,0,0,1
2020,3,"A","골목상권",1000750,"사당로23길","CS100007","치킨전문점",2,3,0,0,0,0,1
2019,1,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",1,3,0,0,0,0,2
2019,2,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",1,3,0,0,0,0,2
2019,3,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",1,3,0,0,0,0,2
2019,4,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2020,1,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2020,2,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2020,3,"A","골목상권",1000750,"사당로23길","CS100008","분식전문점",0,2,0,0,0,0,2
2019,1,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100009","호프-간이주점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,2,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",2,3,0,0,0,0,1
2019,3,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,2,0,0,50,1,1
2019,4,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,2,0,0,0,0,1
2020,1,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,1,0,0,100,1,0
2020,2,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,1,0,0,0,0,0
2020,3,"A","골목상권",1000750,"사당로23길","CS100010","커피-음료",1,1,0,0,0,0,0
2019,1,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",1,1,0,0,0,0,0
2019,2,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,67,2,0,0,0
2019,3,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,0,0,0,0,0
2019,4,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,0,0,0,0,0
2020,1,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",3,3,0,0,0,0,0
2020,2,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",2,2,0,0,50,1,0
2020,3,"A","골목상권",1000751,"사당로23나길","CS100001","한식음식점",2,2,0,0,0,0,0
2019,1,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000751,"사당로23나길","CS100003","일식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000751,"사당로23나길","CS100004","양식음식점",0,1,0,0,0,0,1
2019,2,"A","골목상권",1000751,"사당로23나길","CS100004","양식음식점",0,0,0,0,0,1,0
2019,3,"A","골목상권",1000751,"사당로23나길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000751,"사당로23나길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000751,"사당로23나길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000751,"사당로23나길","CS100004","양식음식점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000751,"사당로23나길","CS100004","양식음식점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000751,"사당로23나길","CS100005","제과점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000751,"사당로23나길","CS100005","제과점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000751,"사당로23나길","CS100005","제과점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000751,"사당로23나길","CS100005","제과점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000751,"사당로23나길","CS100005","제과점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000751,"사당로23나길","CS100005","제과점",0,0,0,0,0,0,0
2020,3,"A","골목상권",1000751,"사당로23나길","CS100005","제과점",0,0,0,0,0,0,0
2019,1,"A","골목상권",1000751,"사당로23나길","CS100006","패스트푸드점",0,0,0,0,0,0,0
2019,2,"A","골목상권",1000751,"사당로23나길","CS100006","패스트푸드점",0,0,0,0,0,0,0
2019,3,"A","골목상권",1000751,"사당로23나길","CS100006","패스트푸드점",0,0,0,0,0,0,0
2019,4,"A","골목상권",1000751,"사당로23나길","CS100006","패스트푸드점",0,0,0,0,0,0,0
2020,1,"A","골목상권",1000751,"사당로23나길","CS100006","패스트푸드점",0,0,0,0,0,0,0
2020,2,"A","골목상권",1000751,"사당로23나길","CS100006","패스트푸드점",0,0,0,0,0,0,0
